algorithm,train_data_file,mean_recall,std_recall
RF,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.88,0.09
GB,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.89,0.05
NB,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.94,0.05
SVM,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.62,0.1
LR,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.79,0.08
RF,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.88,0.08
GB,"data/train_test/data_tc_100_(1, 3)_clean.pkl",0.91,0.07
NB,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.93,0.09
SVM,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.8,0.11
RF,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.89,0.06
GB,"data/train_test/data_tf_400_(1, 3)_clean.pkl",0.8,0.1
NB,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.91,0.07
SVM,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.83,0.08
RF,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.86,0.08
GB,"data/train_test/data_tfidf_400_(1, 2)_clean_steeming.pkl",0.76,0.14
NB,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.95,0.05
SVM,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.84,0.08
RF,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.93,0.06
GB,"data/train_test/data_tfidf_100_(1, 3)_clean_lemmatization.pkl",0.86,0.09
NB,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.96,0.04
SVM,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.22,0.08
LR,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.85,0.08
RF,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.88,0.11
GB,"data/train_test/data_tc_500_(1, 3)_clean_lemmatization.pkl",0.8,0.08
NB,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.95,0.04
SVM,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.76,0.11
RF,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.87,0.12
GB,"data/train_test/data_tfidf_500_(1, 2)_clean.pkl",0.78,0.19
NB,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.94,0.04
SVM,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming.pkl",0.83,0.1
